,Info,RCBS,SCUO,Nov,Wright
0,0.9832772822299649,0.9752844265953873,0.9726402941927994,0.9527099354239259,0.9617331186991875
1,0.9726699881533101,0.964693967314598,0.9536245340301979,0.9462443864111498,0.952840278977932
2,0.9302577484320558,0.8850232153471889,0.9082241068524977,0.9410675013937275,0.9581571228803718
3,0.8394291917537746,0.7905884280304789,0.8448019188153306,0.7774067662020905,0.8891794278745642
4,0.8790861159117302,0.8485029806196267,0.8427271556329845,0.8509302659698026,0.8284901433217187
5,0.8496220557491285,0.7730760242129815,0.8422431602787461,0.828532873286876,0.8681672325203251
6,0.8310226112659695,0.7842124431275361,0.828391195005808,0.7719735638792105,0.8786938228803713
7,0.8255208650937842,0.7719519608523762,0.8174666916644415,0.7927591930001323,0.8230485510944976
8,0.8155229967938731,0.7752589657487523,0.7978984872042278,0.7990492121500594,0.8041168736354891
9,0.7555896492743646,0.658005852554274,0.7077874010550176,0.6387423639836052,0.7282731490181049
10,0.7751383533888287,0.6929839331782657,0.6697165574671307,0.7001665028053554,0.642134454195147
